datetime,timestamp,user,src,out,time
2023-04-27 00:12:56,1682554376,SA***-JNXC,Anubis Collection Package,AUG | Snake Pit,1682554376
2023-04-27 00:12:56,1682554376,AC***-3LPE,地平线武器箱,AUG | 琥珀冲流,1682554376
2023-04-27 00:12:57,1682554377,SJ***-R9VC,Anubis Collection Package,AUG | Snake Pit,1682554377
2023-04-27 00:12:57,1682554377,S5***-93TA,Anubis Collection Package,MP7 | Sunbaked,1682554377
2023-04-27 00:12:57,1682554377,AR***-L3UL,Anubis Collection Package,MP7 | Sunbaked,1682554377
2023-04-27 00:12:58,1682554378,AV***-27HA,2022年里约热内卢锦标赛竞争组亲笔签名胶囊,印花 | isak（全息）| 2022年里约热内卢锦标赛,1682554378
2023-04-27 00:12:59,1682554379,AR***-L3UL,Anubis Collection Package,MP7 | Sunbaked,1682554379
2023-04-27 00:13:00,1682554380,AZ***-UQUA,Anubis Collection Package,SSG 08 | Azure Glyph,1682554380
2023-04-27 00:13:00,1682554380,AZ***-MKTL,Anubis Collection Package,XM1014 | Hieroglyph,1682554380
2023-04-27 00:13:00,1682554380,S8***-GMSL,Anubis Collection Package,XM1014 | Hieroglyph,1682554380
2023-04-27 00:13:00,1682554380,AQ***-5SNA,Anubis Collection Package,R8 左轮手枪 | Inlay,1682554380
2023-04-27 00:13:00,1682554380,SC***-4DHA,“头号特训”武器箱,SG 553 | 危险距离,1682554380
2023-04-27 00:13:01,1682554381,S3***-CDNQ,变革武器箱,SG 553 | 赛博之力,1682554381
2023-04-27 00:13:02,1682554382,S5***-UMFN,左轮武器箱,沙漠之鹰 | 科林斯遗产,1682554382
2023-04-27 00:13:02,1682554382,ST***-QRRE,Anubis Collection Package,AUG | Snake Pit,1682554382
2023-04-27 00:13:02,1682554382,AR***-L3UL,Anubis Collection Package,R8 左轮手枪 | Inlay,1682554382
2023-04-27 00:13:02,1682554382,AP***-DZXN,梦魇武器箱,FN57 | 涂鸦潦草,1682554382
2023-04-27 00:13:02,1682554382,AV***-27HA,2022年里约热内卢锦标赛竞争组亲笔签名胶囊,印花 | roeJ | 2022年里约热内卢锦标赛,1682554382
